BankIt2650361 Rotavirus_A_type_3_segment_10          	OP963667
BankIt2650361 Rotavirus_A_type_3_segment_11          	OP963668
BankIt2650361 Rousettus_bat_coronavirus_HKU9         	OP963669
BankIt2650361 Shanbavirus_A                          	OP963670
BankIt2650361 Bat_sapovirus_BtSY3                    	OP963671
BankIt2650361 Bat_RVJ-like_rotavirus_BtSY3_segment_1 	OP963672
BankIt2650361 Bat_RVJ-like_rotavirus_BtSY3_segment_2 	OP963673
BankIt2650361 Bat_RVJ-like_rotavirus_BtSY3_segment_3 	OP963674
BankIt2650361 Bat_RVJ-like_rotavirus_BtSY3_segment_4 	OP963675
BankIt2650361 Bat_RVJ-like_rotavirus_BtSY3_segment_5 	OP963676
BankIt2650361 Bat_RVJ-like_rotavirus_BtSY3_segment_6 	OP963677
BankIt2650361 Bat_RVJ-like_rotavirus_BtSY3_segment_7 	OP963678
BankIt2650361 Bat_RVJ-like_rotavirus_BtSY3_segment_8 	OP963679
BankIt2650361 Bat_RVJ-like_rotavirus_BtSY3_segment_9 	OP963680
BankIt2650361 Bat_RVJ-like_rotavirus_BtSY3_segment_10	OP963681
BankIt2650361 Bat_RVJ-like_rotavirus_BtSY3_segment_11	OP963682
BankIt2651276 Bat_circovirus_BtSY1                   	OP963683
BankIt2651276 Bat_polyomavirus_BtSY1                 	OP963684
